episode,selection_score,total_irrigation_mm,time_in_target_pct,violation_rate_pct,deficit_rate_pct,surplus_rate_pct,rmse_band,mean_soil_moisture,runoff_total_mm,drainage_total_mm,action_smoothness,decision_latency_ms,water_use_efficiency,max_abs_mass_balance_error_mm,cumulative_reward
0,59.06193078324225,615.7849411964417,59.06193078324225,40.93806921675774,0.0,40.93806921675774,0.027248020343071264,0.308594412509102,91.46901806732573,1425.443743302592,0.0314546205704839,0.0,8.42501927689228,2.842170943040401e-14,-8010.2233685683705
2,59.18715846994536,585.2900697886944,59.18715846994536,40.81284153005464,0.0,40.81284153005464,0.02706352299029655,0.30813618585077784,81.93374863830412,1404.059937006986,0.02780508610947887,0.0,8.882775000568488,2.842170943040401e-14,-7913.18639996234
4,59.11885245901639,584.9115513563156,59.11885245901639,40.88114754098361,0.0,40.88114754098361,0.027058763289822537,0.30839227505578987,82.9228879638069,1402.6378026789844,0.02604639312678883,0.0,8.87826541971734,2.842170943040401e-14,-7932.094647808066
6,58.720400728597454,565.8380011320114,58.720400728597454,41.27959927140255,1.2864298724954462,39.9931693989071,0.026900128017963792,0.3030586218654784,81.1425429672601,1387.1747719427913,0.023980808681525825,0.0,9.115683269205926,2.842170943040401e-14,-7889.536468901846
8,59.767759562841526,571.4209241271019,59.767759562841526,40.23224043715847,0.03415300546448088,40.19808743169399,0.026909432793678353,0.3048070571420174,82.66646107576783,1390.8067363504574,0.023724253124301993,0.0,9.187622955914431,2.842170943040401e-14,-7711.457901748962
10,59.642531876138435,618.009653955698,59.642531876138435,40.357468123861565,0.022768670309653915,40.33469945355191,0.027200423686417393,0.30572812758010187,98.03365136150175,1421.2661767774728,0.028781573844094435,0.0,8.477213853322034,2.842170943040401e-14,-7877.868550196056
