episode,selection_score,total_irrigation_mm,time_in_target_pct,violation_rate_pct,deficit_rate_pct,surplus_rate_pct,rmse_band,mean_soil_moisture,runoff_total_mm,drainage_total_mm,action_smoothness,decision_latency_ms,water_use_efficiency,max_abs_mass_balance_error_mm,cumulative_reward
0,59.904371584699454,699.47411647439,59.904371584699454,40.095628415300546,0.0,40.095628415300546,0.027903583573431687,0.30136182936057726,84.85785399382577,1518.4515954339238,0.04546223371647545,0.0,7.522794448095434,2.842170943040401e-14,-8143.372060684746
2,60.49635701275046,653.1474604308605,60.49635701275046,39.50364298724954,0.0,39.50364298724954,0.0275380323620282,0.30130523004785664,81.92979575386802,1474.5269226797611,0.04146440636456101,0.0,8.13598815265166,2.842170943040401e-14,-7848.804903000813
4,59.149875764404925,755.2680911719799,59.67668488160292,40.32331511839708,0.5806010928961749,39.74271402550091,0.028333838575024688,0.2999819582903262,89.84296337323384,1570.368267726519,0.05121081713580684,0.0,6.9405818427543755,2.842170943040401e-14,-8338.397247759662
6,54.75146496943546,754.1702319085598,55.16848816029144,44.83151183970856,5.8743169398907105,38.95719489981785,0.028375606996235567,0.29360886373931006,100.19434732770462,1564.247710867667,0.052273569397647816,0.0,6.425604982758798,2.842170943040401e-14,-8997.606412034744
8,48.37454825936119,829.0960474610329,56.284153005464475,43.71584699453552,4.610655737704918,39.1051912568306,0.028876763288406538,0.2945118594288485,110.95684036908453,1626.8274240732785,0.05700107010597386,0.0,5.9631209377250896,2.842170943040401e-14,-9016.3019992327
10,37.67787500285495,818.3487545251846,44.51275045537341,55.48724954462659,15.960837887067395,39.526411657559194,0.029299162156907713,0.29362914424701053,111.78591444511402,1640.7217576669966,0.05760808281755713,0.0,4.7779140352802605,2.842170943040401e-14,-12523.79481742692
