episode,selection_score,total_irrigation_mm,time_in_target_pct,violation_rate_pct,deficit_rate_pct,surplus_rate_pct,rmse_band,mean_soil_moisture,runoff_total_mm,drainage_total_mm,action_smoothness,decision_latency_ms,water_use_efficiency,max_abs_mass_balance_error_mm,cumulative_reward
0,55.020491803278695,711.9261676669121,55.020491803278695,44.97950819672131,1.7304189435336976,43.24908925318761,0.02809245947120959,0.30659401587487806,89.54560581753621,1517.6742266035656,0.0510956071360459,0.0,6.788625309052004,2.842170943040401e-14,-9147.09983476528
2,56.23861566484517,643.7252401709557,56.23861566484517,43.76138433515483,1.1612021857923498,42.600182149362475,0.027618483509886497,0.30621669249209243,78.87260097212258,1460.7611257402714,0.03884469585661381,0.0,7.674081567297365,2.842170943040401e-14,-8751.368657467188
4,54.451275045537336,708.4513422250748,54.451275045537336,45.548724954462664,1.3888888888888888,44.15983606557377,0.028097422110652436,0.30822300818694626,84.23810066916134,1516.4649548739537,0.050023738984080066,0.0,6.751345808701203,2.842170943040401e-14,-9252.461670425459
6,46.41393442622951,668.4391877055168,46.41393442622951,53.58606557377049,11.30464480874317,42.28142076502732,0.028303405003224095,0.29926890493101377,86.35240155009812,1506.5452125577044,0.049814647834501596,0.0,6.099283337942383,2.842170943040401e-14,-11766.666748125885
8,45.89025500910747,646.8375855088234,45.89025500910747,54.10974499089253,11.86247723132969,42.24726775956284,0.028284037332337884,0.29909773357867653,85.08680470447887,1493.3713688241678,0.04678506204048512,0.0,6.231858027899051,2.842170943040401e-14,-12249.840736413837
10,48.3948087431694,660.1200348436832,48.3948087431694,51.605191256830594,9.27823315118397,42.326958105646625,0.028167604942761118,0.30066163944749597,86.83847461839711,1493.5291932174316,0.0474410058255485,0.0,6.439737889498596,2.842170943040401e-14,-11215.091566499264
