episode,selection_score,total_irrigation_mm,time_in_target_pct,violation_rate_pct,deficit_rate_pct,surplus_rate_pct,rmse_band,mean_soil_moisture,runoff_total_mm,drainage_total_mm,action_smoothness,decision_latency_ms,water_use_efficiency,max_abs_mass_balance_error_mm,cumulative_reward
0,60.132058287796,576.2654546499252,60.132058287796,39.86794171220401,0.7969034608378871,39.07103825136612,0.026993373855608956,0.2981110974777032,78.80316279422534,1403.202756754804,0.02888207566313302,0.0,9.1659146967412,2.842170943040401e-14,-7677.798109104719
2,60.10928961748634,569.7276763617992,60.10928961748634,39.89071038251366,0.8310564663023678,39.059653916211296,0.02694443386822983,0.2979805244395439,77.99437460507595,1397.541685011994,0.028555034702111657,0.0,9.267585583549911,2.842170943040401e-14,-7660.135548558278
4,60.029599271402546,580.8957815170288,60.029599271402546,39.97040072859745,0.6830601092896175,39.287340619307834,0.02703056198797397,0.29920892194392296,78.09881550173397,1407.840543123837,0.02845655308556451,0.0,9.077359773950128,2.842170943040401e-14,-7724.671459802546
6,60.09790528233151,575.9981734752655,60.09790528233151,39.90209471766849,0.8424408014571949,39.059653916211296,0.026983732435208484,0.29857428637412137,77.45560615352805,1403.0606268907027,0.028972087325966196,0.0,9.16495961809971,2.842170943040401e-14,-7690.5302505304335
8,60.188979963570134,580.3542586565018,60.188979963570134,39.81102003642987,0.7172131147540983,39.09380692167577,0.027020497328100242,0.2985861119781211,77.5882470117454,1407.9203895827497,0.028672588695416237,0.0,9.109952966036996,2.842170943040401e-14,-7696.116952003635
10,58.37887067395264,577.1817283630371,58.37887067395264,41.62112932604736,2.5614754098360657,39.059653916211296,0.02703095595576215,0.29647025560040197,78.54149009659558,1407.0023212876354,0.02984580982929887,0.0,8.884550130413308,2.842170943040401e-14,-7991.338412649831
