episode,reward,steps,updates,actor_loss,critic_loss,alpha_loss,alpha
37,-431.536042896082,12432,11933,134.2095184326172,288.87884521484375,0.5925067663192749,0.07031767070293427
38,-424.2363344613748,12768,12269,168.1221160888672,566.3206787109375,0.8161156177520752,0.07073649019002914
39,-665.3812293587491,13104,12605,179.77020263671875,645.3527221679688,0.17236410081386566,0.07159597426652908
40,-474.39759718882607,13440,12941,142.0525360107422,343.7809753417969,-0.299803763628006,0.07267912477254868
41,-884.8150163803914,13776,13277,167.36602783203125,270.7052001953125,-0.40749314427375793,0.07367060333490372
42,-956.8971441246832,14112,13613,190.29946899414062,528.2947998046875,0.744305431842804,0.0751761943101883
43,-1104.931483682612,14448,13949,170.06710815429688,369.4574890136719,0.3106172978878021,0.07654225081205368
44,-1773.0531071178514,14784,14285,205.2150115966797,454.31805419921875,0.40611588954925537,0.07706483453512192
45,-360.4590558065643,15120,14621,160.60772705078125,581.6834716796875,-0.36046087741851807,0.07739660143852234
46,-1010.2987147034272,15456,14957,193.0486602783203,436.7630615234375,-0.14612871408462524,0.07741716504096985
47,-1131.6205056431108,15792,15293,205.34814453125,465.5708923339844,-0.42603468894958496,0.0762920081615448
48,-259.1752243503238,16128,15629,243.53347778320312,449.022216796875,1.1304601430892944,0.07542998343706131
49,-10.259204894542824,16464,15965,214.1658477783203,461.9837646484375,-0.3206186294555664,0.07441336661577225
50,209.89756562177624,16800,16301,227.26438903808594,5429.841796875,-0.6802173852920532,0.07319259643554688
51,-585.7338816487023,17136,16637,239.95455932617188,442.5773010253906,0.033954307436943054,0.0717763602733612
52,-371.98059941940085,17472,16973,244.58261108398438,661.37744140625,-0.2718489170074463,0.07038143277168274
53,-1104.6464630585183,17808,17309,255.48394775390625,472.72821044921875,-0.05755080282688141,0.0699058473110199
54,335.48627578586365,18144,17645,252.13021850585938,5686.759765625,-0.5367778539657593,0.06899847090244293
55,-849.5808145382028,18480,17981,263.17791748046875,471.9288330078125,-0.7054863572120667,0.06889460980892181
56,-95.0180814967463,18816,18317,239.91104125976562,502.9937744140625,0.005088686943054199,0.068837009370327
57,78.08350900668152,19152,18653,272.4374694824219,763.4364013671875,-0.07708005607128143,0.0686744675040245
58,-547.6426142896896,19488,18989,268.46246337890625,1080.34326171875,-0.49729305505752563,0.06845549494028091
59,145.17306235358382,19824,19325,269.5335998535156,976.4381103515625,-0.08468425273895264,0.06741586327552795
60,-907.7064502160683,20160,19661,238.12158203125,2171.830078125,0.20378179848194122,0.06674797832965851
61,-569.4496609035386,20496,19997,265.0066833496094,1218.902099609375,0.6857181787490845,0.06699119508266449
62,-224.90003207734014,20832,20333,312.7804870605469,848.8046264648438,1.1416337490081787,0.06807097047567368
63,-666.7991067493404,21168,20669,272.55084228515625,654.9932861328125,-0.3557590842247009,0.06921041011810303
64,334.8098668736219,21504,21005,287.320556640625,372.8909912109375,1.2972593307495117,0.07082456350326538
65,-79.52538177874142,21840,21341,292.4106140136719,640.9396362304688,0.19266033172607422,0.07166309654712677
66,-804.4192667687033,22176,21677,291.97125244140625,475.72576904296875,-0.22180230915546417,0.07323698699474335
67,-358.85888386275286,22512,22013,296.19390869140625,7477.8818359375,0.38015609979629517,0.07481621950864792
68,-1798.1724606181913,22848,22349,298.340087890625,495.210205078125,0.36901775002479553,0.07677825540304184
69,-460.72312617405095,23184,22685,327.67523193359375,460.3778381347656,0.7615538239479065,0.07935669273138046
70,-840.6346837217134,23520,23021,281.8221740722656,866.1469116210938,0.44363537430763245,0.0813971757888794
71,-843.0316017989034,23856,23357,341.8499755859375,549.024658203125,0.8989590406417847,0.08322581648826599
72,335.5390374141931,24192,23693,333.48248291015625,882.555419921875,0.661126971244812,0.08465246111154556
73,-449.85614919227305,24528,24029,366.06890869140625,616.52685546875,0.16940845549106598,0.08628296852111816
74,-110.3469583230417,24864,24365,354.8546142578125,1264.078369140625,0.8649910688400269,0.08803103864192963
75,335.74447150081386,25200,24701,357.3954162597656,730.7059326171875,0.029399991035461426,0.09015591442584991
76,-740.9295809438642,25536,25037,318.38616943359375,522.09521484375,-0.45573145151138306,0.09242524951696396
77,302.88781326753,25872,25373,365.0042724609375,583.02783203125,0.22136332094669342,0.09389699250459671
78,280.0760996244164,26208,25709,329.0244140625,567.91064453125,0.5153828859329224,0.0956171527504921
79,-815.8560066796944,26544,26045,354.51495361328125,447.46832275390625,0.32630807161331177,0.09732802957296371
80,151.14932994724577,26880,26381,384.8516845703125,1388.617919921875,0.8205093145370483,0.09883661568164825
81,-488.4821139084437,27216,26717,362.4156799316406,424.01885986328125,0.056334227323532104,0.09969475865364075
82,104.03014543732415,27552,27053,366.110595703125,388.1455383300781,0.6693609952926636,0.10132408887147903
83,-1056.5275096966382,27888,27389,353.55145263671875,456.99462890625,-0.07552552223205566,0.10339847207069397
84,21.138473359231455,28224,27725,371.8408203125,586.8035888671875,0.6104831695556641,0.10511302202939987
85,-1402.3203823953124,28560,28061,336.2339172363281,417.093994140625,-0.1727280616760254,0.1076931431889534
86,158.65229100134695,28896,28397,358.76080322265625,625.844482421875,-0.04357190430164337,0.10947442799806595
87,-312.6863430351405,29232,28733,352.0945129394531,8529.62109375,0.3948974013328552,0.11099884659051895
88,-97.62106374106682,29568,29069,365.08453369140625,607.682861328125,0.20352426171302795,0.11201666295528412
89,335.67926758974755,29904,29405,384.72344970703125,744.2875366210938,0.027562879025936127,0.11273334920406342
90,-597.9221404538811,30240,29741,384.45306396484375,514.1408081054688,0.0663972795009613,0.11365226656198502
91,-78.76290333179787,30576,30077,381.9891357421875,440.6152038574219,-0.5524501204490662,0.11385103315114975
92,-43.85030865224332,30912,30413,404.31280517578125,4958.216796875,-0.05935296416282654,0.11522660404443741
93,-289.06769366587855,31248,30749,407.977294921875,554.4105224609375,0.1393427848815918,0.11593740433454514
94,-301.56178521495946,31584,31085,397.4004211425781,773.0552368164062,0.39192405343055725,0.11751507967710495
95,-75.15225196177575,31920,31421,413.10272216796875,2340.6552734375,-0.09811154007911682,0.11770342290401459
96,-1190.5216984626852,32256,31757,408.4932861328125,502.5836181640625,-0.09136524796485901,0.11739684641361237
97,-597.7672621416943,32592,32093,417.7161865234375,344.33514404296875,-0.6864671111106873,0.11814112216234207
98,-14.839909540175162,32928,32429,393.47100830078125,482.1463317871094,-0.19019845128059387,0.11850271373987198
99,-1109.1850057768595,33264,32765,456.9444885253906,743.228759765625,-0.23007893562316895,0.1194569393992424
100,-1273.787252234325,33600,33101,402.4045715332031,699.3055419921875,0.37618952989578247,0.12112275511026382
