episode,reward,steps,updates,actor_loss,critic_loss,alpha_loss,alpha
1,-3147.0835422807418,336,0,,,,
2,-1813.742085940822,672,173,110.2890625,29.852561950683594,1.2768187522888184,0.044187430292367935
3,-124.12267140574899,1008,509,90.16011810302734,39.53094482421875,2.0888805389404297,0.04561474919319153
4,169.98302218856475,1344,845,52.18890380859375,32.612632751464844,0.889091968536377,0.04701261222362518
5,334.91947635233396,1680,1181,52.661651611328125,44.92510223388672,-0.689850926399231,0.04771147295832634
6,334.54736349642263,2016,1517,19.989459991455078,16.840049743652344,-1.3746153116226196,0.04716130346059799
7,-998.0807924047427,2352,1853,59.89542770385742,495.85113525390625,0.09053730964660645,0.04620400071144104
8,-1133.6188215012685,2688,2189,61.5398063659668,41.03126525878906,0.4482816457748413,0.0458313450217247
9,335.2404338395596,3024,2525,57.71003723144531,47.888580322265625,-0.12661731243133545,0.04562918469309807
10,-1468.8894918613125,3360,2861,97.89848327636719,51.85379409790039,1.3386294841766357,0.04561236873269081
11,270.20713285730625,3696,3197,55.63322448730469,36.93787384033203,-0.8639183044433594,0.04591378942131996
12,335.5033521068094,4032,3533,56.03501892089844,109.71263122558594,-0.29158392548561096,0.04605536162853241
13,-331.36059856714206,4368,3869,49.92915344238281,76.72544860839844,0.15223969519138336,0.04623685032129288
14,96.60125933460354,4704,4205,62.76276397705078,294.315185546875,1.0900934934616089,0.046678315848112106
15,255.75017882467446,5040,4541,61.307861328125,74.00870513916016,-0.35280200839042664,0.047193609178066254
16,335.36581857114993,5376,4877,50.719486236572266,55.2479248046875,-0.35213443636894226,0.04732082411646843
17,335.3206202903391,5712,5213,44.84949493408203,98.14217376708984,0.40556901693344116,0.0474899597465992
18,335.7166496276856,6048,5549,56.72317123413086,69.21146392822266,0.30199217796325684,0.04798484966158867
19,-321.52705939327933,6384,5885,41.666534423828125,93.84593200683594,-0.3382008671760559,0.04889630153775215
20,-833.2076015359736,6720,6221,44.27471160888672,129.31651306152344,-1.0338811874389648,0.04987380653619766
21,-1030.1914393658483,7056,6557,77.599365234375,281.5793762207031,0.5002177953720093,0.05124441161751747
22,-1435.7524037069386,7392,6893,76.77076721191406,103.76972961425781,0.36100512742996216,0.05247895419597626
23,-154.35401905482198,7728,7229,80.66290283203125,172.2894287109375,0.7228693962097168,0.05360819771885872
24,9.985409353904037,8064,7565,94.50152587890625,115.38570404052734,0.6959854364395142,0.054711878299713135
25,-123.26686818096783,8400,7901,110.4010009765625,291.70123291015625,1.0711420774459839,0.05592348054051399
26,335.4559904113409,8736,8237,84.8992919921875,296.6461181640625,0.1348215639591217,0.05701183155179024
27,-197.21624428661005,9072,8573,70.03030395507812,286.3804931640625,-0.2868694067001343,0.05808509513735771
28,-460.9682491684166,9408,8909,100.73951721191406,294.0626220703125,-0.2806207835674286,0.05947970226407051
29,335.43696704804915,9744,9245,121.08891296386719,336.47235107421875,-0.3669581413269043,0.06080126389861107
30,-718.6339674641587,10080,9581,105.1030502319336,192.73460388183594,0.4620663523674011,0.06198730692267418
31,-153.65796077007846,10416,9917,82.68079376220703,103.74188995361328,0.6827524900436401,0.06334222108125687
32,-73.82267742347935,10752,10253,115.31983947753906,1099.209716796875,0.38723260164260864,0.06488075107336044
33,-625.2926589954848,11088,10589,104.09493255615234,205.85699462890625,0.16704662144184113,0.0661463662981987
34,-1055.8565281828128,11424,10925,96.2972640991211,272.71478271484375,-0.22156351804733276,0.06737853586673737
35,240.6946257523576,11760,11261,140.42431640625,265.1881408691406,0.16397249698638916,0.0687880590558052
36,-322.32181550961,12096,11597,122.92147064208984,298.0771179199219,0.36605870723724365,0.06993521004915237
