episode,selection_score,total_irrigation_mm,time_in_target_pct,violation_rate_pct,deficit_rate_pct,surplus_rate_pct,rmse_band,mean_soil_moisture,runoff_total_mm,drainage_total_mm,action_smoothness,decision_latency_ms,water_use_efficiency,max_abs_mass_balance_error_mm,cumulative_reward
0,60.132058287796,576.2654546499252,60.132058287796,39.86794171220401,0.7969034608378871,39.07103825136612,0.026993373855608956,0.2981110974777032,78.80316279422534,1403.202756754804,0.02888207566313302,0.0,9.1659146967412,2.842170943040401e-14,-7677.798109104719
2,60.10928961748634,572.262353271246,60.10928961748634,39.89071038251366,0.8424408014571949,39.048269581056466,0.02696283889959092,0.29799847219721165,78.38588437048436,1399.6759384318234,0.028736697002816117,0.0,9.226537391141889,2.842170943040401e-14,-7665.978266589842
4,60.075136612021865,609.9552813470364,60.075136612021865,39.92486338797814,0.4098360655737705,39.51502732240437,0.02723197584260852,0.30072162790247325,83.47685401934486,1430.4599841404063,0.029433437839505017,0.0,8.651453903876654,2.842170943040401e-14,-7801.67750522775
6,60.075136612021865,660.396825581789,60.075136612021865,39.92486338797814,0.6261384335154827,39.298724954462664,0.027553561153965147,0.3005800909300848,98.88834524328614,1464.3858362066437,0.034619086042944044,0.0,7.990650160002098,2.842170943040401e-14,-7889.455272065936
8,59.93852459016394,697.8424480557442,59.93852459016394,40.06147540983606,0.9335154826958106,39.12795992714025,0.02785408102765577,0.2986411656320181,103.43719231199098,1499.3235938356124,0.03729013383531033,0.0,7.544682921866954,2.842170943040401e-14,-8021.278699414823
10,59.83606557377049,640.265557706356,59.83606557377049,40.16393442622951,1.104280510018215,39.059653916211296,0.027457060415841946,0.2977802184877889,91.26571594406688,1454.3774879343277,0.03331076755456361,0.0,8.209093768574306,2.842170943040401e-14,-7880.868394773887
