episode,selection_score,total_irrigation_mm,time_in_target_pct,violation_rate_pct,deficit_rate_pct,surplus_rate_pct,rmse_band,mean_soil_moisture,runoff_total_mm,drainage_total_mm,action_smoothness,decision_latency_ms,water_use_efficiency,max_abs_mass_balance_error_mm,cumulative_reward
10,43.339918944456755,812.0470764935017,49.544626593806925,50.45537340619308,0.0,50.45537340619308,0.02919461310168015,0.32050462251705836,103.24248658207371,1608.0070657641843,0.05992986993584453,0.0,5.35929520095357,2.842170943040401e-14,-10918.937115926368
20,57.62750455373406,602.6506331264973,57.62750455373406,42.37249544626594,0.0,42.37249544626594,0.027206086985017267,0.30993360874629877,92.46633116801239,1414.3123548423496,0.025187477230224905,0.0,8.399559747807448,2.842170943040401e-14,-8205.764861460022
30,58.321948998178506,662.7834016680717,58.321948998178506,41.678051001821494,1.1498178506375227,40.528233151183976,0.02753442607753108,0.3045649939447391,118.1436732015098,1450.864077269448,0.039067797853967585,0.0,7.72952368316195,2.842170943040401e-14,-8171.835556981618
40,44.717075613466776,858.4986427724361,55.56693989071039,44.43306010928962,4.348816029143898,40.08424408014572,0.028667743827109064,0.3023909638815526,189.90703997953156,1577.943684704709,0.06295934096224742,0.0,5.685506949943794,2.842170943040401e-14,-9085.00313220306
50,40.220856102003644,655.8618776798248,40.220856102003644,59.779143897996356,19.660746812386158,40.118397085610205,0.028107200064360228,0.29506739091134976,118.39165331694214,1478.997894007673,0.04209331336942197,0.0,5.3868049359696455,2.842170943040401e-14,-13010.331143999583
60,48.83879781420765,568.7106373608112,48.83879781420765,51.161202185792355,11.236338797814208,39.92486338797814,0.027558223830281763,0.29699425763067666,81.640486991495,1420.2546571249322,0.027802743188180917,0.0,7.543379212860167,2.842170943040401e-14,-11201.738199721782
70,54.59927140255009,566.4380607306957,54.59927140255009,45.400728597449906,5.646630236794172,39.75409836065574,0.02716772226041056,0.3012759039822824,82.41031835967458,1398.9532447911402,0.028668102161577294,0.0,8.466945165748996,2.842170943040401e-14,-9202.753520929045
80,53.540528233151186,611.1203514635563,53.540528233151186,46.459471766848814,7.217668488160292,39.24180327868852,0.02764990278271412,0.29594535022174884,92.33908213325942,1445.7241602182842,0.039214997034768884,0.0,7.695701818368358,2.842170943040401e-14,-9970.039835029265
90,60.26867030965391,601.8053641021252,60.26867030965391,39.73132969034609,0.7969034608378871,38.9344262295082,0.027150656450482785,0.29804321941102585,84.39608742021998,1423.0636293426799,0.03550386527235302,0.0,8.796864095584263,2.842170943040401e-14,-7654.304112579608
100,60.81511839708561,717.3009280860424,60.81511839708561,39.18488160291439,0.0,39.18488160291439,0.027909147719001375,0.29921208025356955,102.03376671994307,1520.3117379892687,0.05240733514515615,0.0,7.4473624539339935,2.842170943040401e-14,-7910.367125413122
