episode,selection_score,total_irrigation_mm,time_in_target_pct,violation_rate_pct,deficit_rate_pct,surplus_rate_pct,rmse_band,mean_soil_moisture,runoff_total_mm,drainage_total_mm,action_smoothness,decision_latency_ms,water_use_efficiency,max_abs_mass_balance_error_mm,cumulative_reward
10,54.23497267759563,585.1181893050671,54.23497267759563,45.76502732240437,0.0,45.76502732240437,0.02729569061636531,0.31697977844743724,74.58669688002932,1405.435779047484,0.02054356176503275,0.0,8.141944802054617,2.842170943040401e-14,-8964.195074739047
20,58.492714025500916,557.5149019658566,58.492714025500916,41.50728597449909,0.18214936247723132,41.32513661202186,0.026878979781049424,0.30619978659904906,74.6103278199433,1381.2248992742316,0.025675080552888897,0.0,9.21589715697799,2.842170943040401e-14,-7961.037322488355
30,45.01366120218579,514.1520571708679,45.01366120218579,54.986338797814206,14.401183970856103,40.5851548269581,0.027401729041816293,0.295958970909103,74.77488621803816,1382.5659048099149,0.026760083205550893,0.0,7.69033196474398,2.842170943040401e-14,-12307.470649369596
40,42.566029143898,475.75373929739,42.566029143898,57.433970856102,16.632513661202186,40.80145719489982,0.029535649880833462,0.29281884737881336,76.18968160424667,1402.7780374395777,0.025535822518659348,0.0,7.8591079610259875,2.842170943040401e-14,-16783.97091287255
50,44.80874316939891,488.19176197052,44.80874316939891,55.19125683060109,14.33287795992714,40.85837887067395,0.029457797945023935,0.2958130973050058,76.99845238815873,1404.388287078718,0.03432617163204813,0.0,8.062405609043603,2.842170943040401e-14,-15971.9619237791
60,17.609289617486336,367.22237998247147,28.81375227686703,71.18624772313296,31.204462659380695,39.98178506375228,0.032389946768151594,0.28341845499261353,77.42548232111291,1396.7995789419595,0.027498388465493493,0.0,6.892281456595351,2.842170943040401e-14,-25497.94208550198
70,22.402094717668486,392.1660681068897,30.749089253187613,69.2509107468124,28.346994535519126,40.903916211293264,0.03224680643859607,0.28561506843453555,75.71421073966856,1407.9447426128584,0.02290545629773666,0.0,6.887388327701541,2.842170943040401e-14,-24388.811010964142
80,12.862021857923494,284.731386333704,25.079690346083787,74.9203096539162,32.21766848816029,42.70264116575592,0.04051461403413939,0.2792081146752694,83.23489251962566,1483.0337028672568,0.02177174070233516,0.0,7.737116825674052,2.842170943040401e-14,-39511.41872053512
90,36.71448087431694,462.02033150196075,36.71448087431694,63.28551912568307,18.71584699453552,44.56967213114754,0.03592725103322289,0.2977229018828257,87.2470074680996,1491.3429890472612,0.03203978200755792,0.0,6.980212298268336,2.842170943040401e-14,-26834.55364557515
100,32.12431693989071,390.10269859433174,34.30100182149363,65.69899817850637,22.176684881602917,43.52231329690346,0.037655371417787936,0.29344013059347795,83.32023252543142,1475.8003911622852,0.02676155306437042,0.0,7.723607170257549,2.842170943040401e-14,-30607.14842040099
